account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
0010L00001hVmFhQAK,US,MRS,Ongoing,12,Follow Up → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Follow Up → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Follow Up → Inbound Call → Inbound Call,"Follow Up,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
0010L00001hVxd6QAC,US,MRS,Won,16,Meeting → Meeting → Review → Email → Email → Email → Email → Review → Email → Email → Email → Inbound Call → Inbound Call → Inbound Call → Email → Email,Meeting → Meeting → Review → Email → Email,Meeting → Meeting → Review,"Meeting,Meeting,Review,Email,Email,Email,Email,Review,Email,Email,Email,Inbound Call,Inbound Call,Inbound Call,Email,Email"
0010L00001hVyJQQA0,US,MRS,Ongoing,8,Inbound Call → Inbound Call → Inbound Call → Inbound Call → Email → Inbound Call → Inbound Call → Inbound Call,Inbound Call → Inbound Call → Inbound Call → Inbound Call → Email,Inbound Call → Inbound Call → Inbound Call,"Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Inbound Call"
0010L00001hW1cAQAS,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
0010L00001ijzeFQAQ,US,MRS,Won,15,Email → Email → Email → Inbound Call → Inbound Call → Email → Inbound Call → Email → Inbound Call → Email → Email → Email → Email → Email → Email,Email → Email → Email → Inbound Call → Inbound Call,Email → Email → Email,"Email,Email,Email,Inbound Call,Inbound Call,Email,Inbound Call,Email,Inbound Call,Email,Email,Email,Email,Email,Email"
0010L00001ikpsqQAA,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
0010L00001ikyKBQAY,US,MRS,Won,5,Meeting → Meeting → Meeting → Meeting → Follow Up,Meeting → Meeting → Meeting → Meeting → Follow Up,Meeting → Meeting → Meeting,"Meeting,Meeting,Meeting,Meeting,Follow Up"
0010L00001il4y4QAA,US,MRS,Ongoing,10,Email → Email → Email → Meeting → Email → Email → Email → Email → Email → Email,Email → Email → Email → Meeting → Email,Email → Email → Email,"Email,Email,Email,Meeting,Email,Email,Email,Email,Email,Email"
0010L00001il5N0QAI,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
0010L00001il7KHQAY,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
