feature,importance
unique_actions_so_far,0.18689529107394384
current_action_encoded,0.18510038251795327
action_index,0.16656945537363005
country_encoded,0.16354530926408922
prev_action_encoded,0.060737916335688875
touch_sequence,0.057414307634875844
days_since_last,0.05219797613329365
repeat_ratio,0.03612993579592998
month,0.0333782865551559
day_of_week,0.0181405620201496
is_lead,0.012259843908071576
opportunity_stage_encoded,0.011599018194393918
journey_outcome_encoded,0.008435553624678209
solution_encoded,0.007596161568146129
